,Sample0,Sample1,Sample2,Sample3,Sample4,Sample5,Sample6,Sample7,Sample8,Sample9,Sample10,Sample11,Sample12,Sample13,Sample14,Sample15,Sample16,Sample17,Sample18,Sample19,Sample20,Sample21,Sample22,Sample23,Sample24,Sample25,Sample26,Sample27,Sample28,Sample29,Sample30,Sample31,Sample32,Sample33,Sample34,Sample35,Sample36,Sample37,Sample38,Sample39,Sample40,Sample41,Sample42,Sample43,Sample44,Sample45,Sample46,Sample47,Sample48,Sample49,Sample50,Sample51,Sample52,Sample53,Sample54,Sample55,Sample56,Sample57,Sample58,Sample59,Sample60,Sample61,Sample62,Sample63,Sample64,Sample65,Sample66,Sample67,Sample68,Sample69,Sample70,Sample71,Sample72,Sample73,Sample74,Sample75,Sample76,Sample77,Sample78,Sample79,Sample80,Sample81,Sample82,Sample83,Sample84,Sample85,Sample86,Sample87,Sample88,Sample89,Sample90,Sample91,Sample92,Sample93,Sample94,Sample95,Sample96,Sample97,Sample98,Sample99,Sample100,Sample101,Sample102,Sample103,Sample104,Sample105,Sample106,Sample107,Sample108
Gene67,0.2985269,0.0359347,0.4490101,-0.107847,0.3388210,0.5188296,0.1567320,0.4397262,-1.342692,1.0506571,-0.013071,0.1707303,0.9942913,0.1327497,0.6672383,0.8275658,-0.540707,1.3205063,-1.589000,-1.244480,0.0220205,-0.691659,0.2585829,-0.917676,0.4648789,0.1886341,0.0635418,-0.137333,-1.093297,-0.359845,-0.523126,-0.493486,0.9428165,-0.791254,0.7669387,-0.894225,0.7363070,-0.198033,0.0524660,-0.675175,-0.332070,-0.828030,-0.096867,-1.178692,-0.812100,-0.908321,-1.040082,-0.566207,0.2106748,0.7114615,-0.886061,-0.526147,0.1395828,-1.959222,0.6973961,-0.783150,-0.199534,-0.722276,0.4742778,0.9444062,0.5217832,0.1642959,0.3180321,0.0662103,0.1534962,-0.154901,-0.541315,-1.224109,-0.333900,0.3676601,1.1262304,0.7968689,1.6954446,0.4930320,0.2766804,-0.622558,-0.860875,1.1207530,0.2018396,1.5065315,-1.127360,0.3488935,0.2735579,-0.427692,-0.258428,-0.054163,0.6964776,0.8288993,1.4434054,-0.556072,0.1732731,0.9204922,-1.047828,-0.147018,0.0925509,0.9581106,-0.839226,-0.026433,0.2788933,-1.253042,0.7164409,0.1331324,-0.587477,-0.381864,1.6352245,0.3962591,0.9451061,-0.116739,0.2878113
Gene68,-0.026825,0.6842945,-0.041410,-0.089622,-0.682477,-1.568179,0.4632050,0.4150500,0.3982504,0.2918031,-0.054099,1.3709602,-0.284805,-0.604788,0.1355547,1.3555149,-0.540562,1.5504866,0.9638551,1.0936269,0.6691615,0.0801745,1.5301144,0.2201665,0.3464344,-0.734309,-1.093629,-0.008041,1.4768668,0.7823110,1.3990251,0.6854239,-0.574047,0.3397232,0.7506380,0.6499713,0.6564802,0.0315162,0.4154497,0.1996336,0.2304620,-0.940481,1.0748380,-0.479276,-0.649534,-0.335272,0.6313406,-1.499028,-0.327213,0.2623637,-0.259719,0.4633847,-0.132332,1.3253280,0.0460676,-1.436169,-0.126268,-2.166571,-0.279517,0.3955425,-0.634415,0.4461579,-0.399857,-1.165367,1.2873162,-0.905773,0.0738763,-0.762358,-0.088000,0.2834704,0.0130664,0.6335287,-1.057868,-0.026722,1.5988754,0.8336449,0.1206037,-0.206777,0.4276241,-1.635242,-0.484622,-1.279739,0.7164802,0.3559788,-0.148987,-0.768205,0.8345464,0.6066816,-1.093544,-0.407342,-0.291387,-0.499518,-0.608152,0.3713978,-0.274676,-0.061971,0.3752520,0.4903549,-1.953713,0.8168869,0.5017472,-0.698647,0.1179855,-0.507702,-0.086742,-1.823834,-0.738385,-0.243520,-0.503231
Gene69,-0.373394,0.3853049,0.1530460,0.8185717,0.7176437,-0.518386,-0.262751,-0.187886,0.9090919,-1.122969,-0.275720,0.9143108,0.5789917,1.3989062,1.1136084,-1.113292,-0.345710,1.0845088,0.3827476,0.0352230,-0.070289,-0.573953,0.4453601,1.9533428,-0.528518,0.5181999,1.0668905,-0.151463,0.9396530,1.0441939,-0.800613,1.9313537,-0.551764,0.6168263,0.6313836,0.2128344,1.2436656,-0.903642,-0.276444,-2.582047,0.4729378,1.0460869,0.6535866,0.7709049,1.0106329,-1.025306,0.3353847,-0.192450,-1.427033,-0.281706,-0.029886,-0.731244,-0.948591,0.2660174,-0.115286,-1.255764,-0.647755,-0.287273,0.2288854,-0.477381,0.2520577,0.4504139,0.1481349,-0.280746,0.9290460,0.8483692,-0.794737,0.0468588,0.3637844,-0.593187,-0.506049,-0.933126,-0.206969,-0.594431,0.4750298,-0.869071,0.2899826,-1.334785,-0.122685,0.3201417,-0.362346,0.8684619,0.3700497,0.2418718,-0.033258,-0.879355,-0.563304,0.7745004,1.2591348,-0.326696,-0.076795,1.1531029,-2.324767,-0.701605,-0.785308,0.4837488,-0.320257,-1.047328,1.7531826,-1.331452,-0.219372,-0.148468,0.2829478,0.2875500,-0.411646,-1.227284,-0.110316,-0.335326,0.0207451
Gene70,0.0229698,-0.815182,0.8698303,-0.392736,-1.127084,-1.437838,-0.745166,0.5482983,1.3457255,-0.634337,0.2555101,-0.208329,1.8130269,0.9950224,1.6815259,0.4580518,-0.492054,0.8072392,-0.455909,-1.687648,0.4967816,-1.246283,-1.020635,0.4832455,-0.942251,-0.182477,-0.555462,-0.370525,-0.953316,0.3915925,0.3160609,-0.330867,-0.294298,0.6816661,0.8310660,0.0602455,-0.661396,-0.091912,-0.420880,-0.705593,0.4574459,-0.110214,0.5061876,-0.380125,-2.574109,0.3746168,0.4307362,1.1485819,1.2361148,0.7753063,-0.715932,-0.596043,-0.915766,-0.195731,-0.215380,-0.654114,-0.926372,-0.085213,0.0551589,-1.408220,-0.223724,0.5706713,1.7460263,-0.556537,0.3175768,0.5976538,0.5302992,0.4773997,-0.604767,1.1284275,1.0823097,-0.765690,-1.443716,2.7991464,-0.164951,0.8385830,1.9829306,0.9579709,-0.078146,-0.312982,-1.219901,-0.105627,-0.762758,-0.735396,0.2909262,0.2302284,-0.108810,-0.217988,-0.641763,-0.455463,-0.587666,0.7821820,2.3648015,1.1071339,-0.432708,0.3771513,0.7778583,0.4052465,0.1376722,0.2945919,0.1061592,-0.493469,0.0799173,0.3737761,0.1714835,-0.851614,-0.790940,0.7653591,-2.231451
Gene71,-0.084179,0.4169341,0.0123040,0.4757694,0.9872032,1.2263948,-0.313598,-0.125942,0.0053394,-0.246763,0.7231781,0.4226268,0.0486433,0.6710645,0.1155544,1.4124932,-0.662750,-0.058213,1.6507720,-0.515040,0.0040492,0.5316635,-1.212872,0.5815834,0.4972638,0.3191720,-0.424273,-0.878135,0.2665216,0.2702733,0.8554201,0.7206960,-0.592782,-0.436062,-0.200924,-0.929042,-0.702275,0.9683071,1.3669941,-0.045886,0.2414933,-0.260410,-0.030232,0.5527701,0.8105549,0.5285009,-0.415000,-0.527507,0.0932133,-0.777177,-1.411580,0.2852185,0.2793659,-0.696499,1.3487175,0.1773713,0.4676542,-1.968955,0.8071452,0.1093796,-0.378564,0.3987925,-0.025233,0.6057342,0.8373082,0.1026239,-0.578826,-0.309569,-0.237576,0.1605829,0.1671558,-0.970169,-1.307388,-0.762663,0.5304201,1.5141691,-1.736447,-0.204128,-0.476570,-0.395599,-0.405182,-1.732149,-0.289740,0.4397458,0.6359223,1.1804777,-0.662618,0.3735113,-2.241244,0.1363019,1.4666666,0.7186939,-0.765919,0.2210789,0.3984094,-0.283571,0.8830281,-0.982441,-0.686272,-0.416383,-1.126807,-0.088685,0.5430456,0.1453782,-0.472245,0.0122716,-1.108154,0.6846352,-0.247298
Gene72,-0.206546,-0.742030,0.5349987,-0.130335,-0.863692,1.1762143,-0.130948,0.9435394,-0.254362,-0.018982,-0.578139,0.2079212,0.0090156,-0.078449,0.5167484,0.1448218,1.3090726,-1.138025,-0.562866,-0.439477,0.5734201,1.0396904,-0.210921,0.5918123,-0.859495,0.3963633,0.6994323,-0.410960,-1.673568,-0.709597,-1.504655,-0.104954,1.1328536,-2.220173,-0.450825,-0.704955,0.0821475,-0.395355,1.5874102,0.6522707,1.0745630,0.6561712,0.0330954,0.6302632,0.3294813,-0.422929,0.1631740,0.0297149,0.7276335,0.5432824,0.3792708,-0.308893,0.5481382,-0.190775,0.1497315,-0.351970,-0.219945,-0.656998,-0.416124,0.1647997,0.3138998,0.4636997,0.0268322,-1.093868,0.9257637,0.2670175,1.1477713,0.7587249,-1.714842,-0.244708,-0.816826,-0.751982,-2.815832,-0.438533,0.0114449,-0.423908,0.3762874,-1.881821,0.5839309,0.2626156,0.1206746,0.3608550,1.0289308,1.5586165,0.5325008,1.0138128,1.0659791,-1.979760,0.1339494,-0.433908,0.6861840,1.3173304,-1.226846,-0.486617,0.7902472,0.0987229,0.0989282,-0.609476,-0.693199,-0.409219,-1.680725,0.0661400,0.5692383,0.3087636,-0.792200,1.7872288,0.5956760,-0.553019,1.7054395
Gene73,0.3588455,-0.475793,0.1753322,0.8258739,1.3605957,0.9122481,0.0465101,-0.631475,-0.069870,1.1278171,0.0893992,0.6134569,0.4245597,1.4506495,0.2934238,0.0912924,-1.853715,-0.200857,-0.673324,-1.307504,-0.783329,0.9373083,-1.588350,1.1976046,-1.060496,0.4002718,0.3701619,0.6714523,0.9288065,1.2288295,-0.454320,0.7412807,0.8716235,0.0584545,0.6528661,0.4906569,0.8576176,1.3007348,0.6813422,0.4820857,-0.038281,-0.861409,-0.528509,-0.005586,1.1440266,-0.607214,0.1952290,1.2172852,-0.575422,0.6670564,-1.334703,-1.392095,0.8443399,1.1249497,-0.095769,0.1100532,0.3088152,-0.909043,-1.753423,0.0930666,0.6176262,-0.599829,-0.495079,-0.925985,1.4504595,-1.167064,-0.048783,-0.856502,0.6715604,1.3941867,-1.534740,0.0682723,-2.194325,-0.663256,0.7863742,-0.351824,-0.081534,-0.778901,2.0559687,0.0171996,-0.335836,-1.687079,-1.084050,-0.958314,1.4509867,-0.491702,0.7194349,-0.659581,-1.221881,-0.733314,0.8112315,0.4285980,-1.200811,-0.006496,-0.021270,-0.831864,-0.374355,-1.143930,-0.101653,-0.604897,-1.737951,1.1299723,1.6803980,0.2100898,-0.711069,0.4408243,2.3492224,-1.095547,0.2716043
Gene74,-1.325235,0.3198490,-0.909299,-0.763604,-1.779092,-1.522402,0.3237360,0.4075743,0.6534673,-1.466309,1.0864719,0.1683457,-0.223248,-1.041477,1.5775049,0.1112721,0.1859218,0.4545064,1.2860686,1.2577682,0.9230372,-0.882762,0.1092970,1.1762060,-0.592639,-0.105233,-0.066105,0.2234801,1.4797779,0.7025404,-0.375100,0.9842881,-2.087438,-0.032155,1.0580698,0.3269103,0.1946597,-1.031604,0.5559226,1.2569642,1.1740410,-0.152643,1.1464287,0.1693772,-1.079343,-1.150384,2.4640090,0.1253811,-1.070672,-0.992372,0.9215295,-0.258162,-0.401883,1.5822664,0.8370684,0.6321551,0.5274427,-0.004986,-1.245555,-1.230721,-1.624922,-0.423039,-0.941010,1.3651515,1.5371388,-1.279150,-0.576298,1.0491714,0.3660139,-0.834502,-0.694430,-0.112092,-1.508114,0.8010308,0.4865914,1.6772026,1.9382188,-0.575544,-0.627182,-2.041856,1.0537192,-0.821223,-1.927660,0.9557340,0.0503680,-0.801455,-0.901831,0.4396658,-0.410080,-0.557769,0.8300290,0.6367634,0.0781127,0.0388110,-0.875240,0.4884855,-0.926592,0.5794487,0.9526177,1.1474094,0.3571959,-0.614418,0.9254681,-0.427020,-0.545893,-1.601905,-0.741273,0.1556257,-0.132369
Gene75,-0.952068,0.2675867,-0.808636,1.3338892,1.7568200,-0.958505,-0.643134,-1.538750,-1.982497,-0.486544,-0.002882,-1.538921,0.1954056,1.5010347,-0.583222,-1.054063,0.0864985,-0.009150,2.5551252,2.4607185,2.9253885,-1.058899,0.5503891,-0.075514,0.5268344,-1.560267,0.1423977,-0.689699,1.5868855,1.6769141,2.0827686,2.2417996,-0.127731,0.7986630,0.0964501,1.8574027,0.3804512,0.1319431,-1.120132,0.4338464,-0.648988,-0.280576,1.8039730,0.0360540,-0.852652,0.4422432,-0.203125,-0.213462,-0.316349,0.3342097,-0.669158,0.2171141,-0.852178,3.6258876,0.9338449,-0.968245,-1.476713,-2.857438,-0.484844,-1.711990,1.3907553,-0.542902,-0.358293,-0.711551,0.3208606,0.2383455,0.6337394,0.1706750,1.8676506,-0.647841,-0.724447,0.0332110,2.4793946,-0.328755,-0.665362,0.7752338,-0.729478,0.3168999,-1.648355,0.0689514,-1.182579,-0.364209,-0.891143,-1.701044,1.0665921,0.2105097,0.0789685,-0.097284,-0.636126,0.9375459,0.0517450,-0.318077,0.2194450,-1.446163,-0.267537,-1.326947,0.9993721,-0.131845,-2.190521,2.0486365,0.9277169,-2.096796,-0.497574,0.0459136,0.0871244,-1.583284,0.3829170,0.1656961,-0.685973
Gene76,0.6634609,-0.618299,-0.077023,-0.184146,-0.997073,-0.394815,-0.218878,0.6516745,0.6134811,0.0748134,-0.343937,0.1221063,0.2270296,0.0018265,-0.756804,-1.123352,0.7888236,-0.816100,-0.245013,-0.387292,-0.688713,0.5525983,0.1094381,1.0071794,-0.042288,-0.328713,0.4234166,-0.593731,0.1132802,-0.164881,0.5245386,-0.227080,0.3951345,-0.381207,-0.577406,-0.220641,-1.118677,0.4380039,-0.155060,-0.266711,0.0320685,0.2855414,-0.241110,0.2935166,0.2151056,-0.569512,0.3242986,1.3179812,0.1637913,0.0532854,-0.249958,0.0097415,0.5020216,-0.275304,-0.231726,0.7775178,0.8330901,0.5597063,0.1487062,0.5404093,0.8796300,0.0576263,-0.410777,0.3080761,-1.053045,0.3284825,-0.894559,-0.124915,1.1016639,0.2465270,-0.116453,0.0824043,0.6045370,0.5927551,0.5347305,-0.885967,-0.076984,0.3239312,0.3007997,-0.241473,0.4376712,-0.213243,0.3858068,-0.265804,0.1904844,-0.967597,-1.019766,-0.519291,0.0146911,0.4381803,-0.350293,0.1461374,-0.657676,0.2848005,-0.333553,-1.225638,0.0353087,0.5134987,0.3325935,0.2540837,0.1636511,-0.003350,-0.447185,-0.338511,0.6510299,-0.696230,0.4782072,0.6988350,0.1880516
Gene77,0.0043065,0.4420798,0.3544873,0.8259739,-0.210499,1.1446041,0.9326505,0.8747892,0.8318539,1.0418044,-0.235175,0.7910678,0.1330600,-1.313604,2.2036676,-0.253682,-0.448327,0.7083491,-2.788415,-1.866028,-0.730706,1.0465536,-1.176158,2.0975583,-1.665172,-0.153404,1.9357823,-0.756069,-1.074205,-0.015240,-2.342496,-0.559634,-0.372752,-1.220919,1.2955258,-1.719379,-0.176680,-0.629215,1.1515485,-0.411885,-0.325457,-0.228705,-1.314968,-1.001967,0.3556342,-0.137504,-1.292441,0.7907099,-0.206641,0.3547121,-1.124463,-0.495914,0.0348632,-1.781262,1.5089785,-0.582253,0.0923046,1.7495641,0.1076319,0.1226505,-0.245079,-0.213731,0.0306579,0.7321144,1.8381006,1.2955209,-0.592989,1.4784108,-2.988147,0.4766943,1.4993525,-0.319217,-1.445792,-0.062952,0.7096307,-0.471000,-0.376247,-0.227906,-0.233454,-1.109240,0.9118233,-0.484223,0.3653176,0.2793026,-1.173076,2.0186704,0.7629730,1.4482216,0.4078257,0.1773679,0.6234378,1.8574250,-1.100311,0.6513668,0.2273475,0.4563434,-1.340330,-1.713184,0.7291241,-2.058342,-1.820875,1.2174501,0.9175677,1.0828375,-0.338966,0.2586643,0.8189092,0.4999824,0.2211510
Gene78,1.1801750,-0.128574,0.0940997,-0.408745,-0.378747,1.8822677,1.5896236,1.0254720,0.2971756,1.2201352,0.0822721,0.4861479,-0.789574,-0.941810,-0.372764,0.5475229,-0.865384,0.0501071,-1.054441,-0.573144,-0.894287,0.4215270,-1.801596,0.2018906,-1.122281,-1.063280,0.4378081,-1.985733,-0.617578,-0.046290,-1.261035,-1.289688,0.1826175,-0.487401,-0.120569,-0.184520,-1.136460,1.4906598,0.7436603,0.0476246,0.1993068,-0.240769,-1.280686,-0.704868,-0.653761,0.4420239,-1.124070,0.7503239,0.3534146,-1.465930,0.9288500,-1.194782,0.0034217,-1.271703,-0.487945,0.5681167,1.1605306,1.0310330,0.7663397,0.4776466,-1.125968,-0.692083,-0.604843,0.8154942,0.1605450,-0.363663,0.1883065,1.2206065,1.2797902,0.0236762,-0.187839,0.6158180,-0.065366,0.6972064,0.1351120,-0.156887,-0.865289,0.1466463,0.0619589,0.7560676,-0.071913,0.5322843,0.0835325,1.3988945,-0.905933,-0.254644,0.5257180,-0.173199,-0.470212,0.5702833,0.3164929,0.0270677,0.4060897,-0.731018,0.5022942,0.6864158,-0.558368,-1.253675,0.4080467,-1.108472,-0.497795,1.0671753,1.4998863,0.8641412,0.6119118,0.5604668,0.1925714,0.4440983,0.5752093
Gene79,-1.429269,1.8425735,-0.994321,0.2968252,2.3030890,-1.297651,0.9712910,-0.710099,0.4934928,-0.587275,2.2001528,0.6462630,-0.152630,-0.502109,0.1138369,-0.687592,0.6297377,-1.234338,2.2469798,1.0220298,-2.316446,-0.437766,1.3346421,0.7018512,0.8336490,-0.331757,-0.562538,0.3739376,-0.198701,-0.132381,-1.478925,0.2461151,-1.121076,-0.091889,-1.474091,-1.602526,-0.803028,-0.327107,-0.426705,1.4046189,-0.509823,0.3622481,-0.593993,0.5668294,1.5142745,1.1462631,0.8375812,-0.003909,-0.284591,0.2887962,1.1701168,-0.076268,0.3558524,1.1031761,0.8686502,0.9201415,0.3434176,-1.169040,0.4530314,1.9610344,-0.024676,-0.934027,-0.022400,1.9761666,-1.228358,-2.066691,1.1777928,0.2455579,1.2591727,-0.834334,-2.215175,0.2168271,-0.260975,-1.746887,0.2804739,0.6367900,-0.017773,0.0528832,0.3957818,-0.211973,1.0643226,-1.209073,-0.786829,1.0580555,-0.011972,-1.373969,-1.272049,0.1646586,-0.543080,-0.093302,-0.459761,-1.484306,-0.403189,0.2700238,-0.523287,-0.853707,0.2640041,0.6484344,0.1411036,0.1910709,-0.986899,1.6617928,1.4733057,-0.767110,-2.201992,0.5488761,0.9250224,0.0777019,-0.210655
Gene80,-0.747043,0.5241551,-1.130679,-0.049473,3.2488903,0.5366236,-1.387404,-0.595359,-0.852695,-0.565751,-0.739771,1.5317613,-0.774225,2.1451935,-0.835022,-0.931294,1.9877950,-0.879878,2.5689507,1.8019443,1.0153747,1.1373396,0.5208772,0.4105693,-0.100219,0.8706948,-1.286234,2.6169658,0.9785373,2.2860804,0.5573576,2.2186816,-0.786944,0.5727680,-0.284116,0.3437144,2.0339651,-0.521073,0.7877582,-1.105220,-1.009556,0.2580797,1.4958798,1.9561094,1.1552954,-1.316694,1.2484539,-0.128051,-1.890235,-1.182229,-0.607274,-0.215309,-1.580699,-0.173880,0.2321061,-1.319140,0.3933117,-1.095483,-0.532076,1.6388532,1.4511334,0.2114170,-0.935945,-0.362562,0.8902097,-1.496020,0.0642111,-1.050795,2.3447800,-1.587208,-0.502016,0.0984441,0.8690645,-0.755826,-0.601877,0.0300605,-0.811593,-2.455504,-0.757109,-1.081405,-0.991197,-0.700892,-1.360355,0.6885378,0.6544742,-0.655962,-1.194153,-0.226790,0.1990819,-0.970177,-0.033558,-0.502017,-2.467158,-0.815412,0.0503199,-0.675780,0.2854988,-0.166493,1.0135409,-0.015652,1.1425432,-0.366231,0.3713219,-1.390059,-0.518494,0.7684465,1.0210061,-1.643273,0.4863901
Gene81,1.1487363,0.0726244,1.2103528,-1.050668,0.5072465,1.4234392,0.5103286,0.5887398,0.3730691,-0.433219,-0.118068,-0.357570,-0.648959,-0.197865,-0.351302,1.2810451,1.4594925,-0.461559,-1.488391,-0.840416,-0.924768,0.7272943,-1.284624,-0.636239,-0.293020,0.2789627,0.0364288,0.1847624,0.3897252,-1.128802,-1.423100,-0.147739,0.4967263,0.2731108,0.9080605,0.4236501,-1.079967,1.1004400,0.5520909,-1.242325,1.5187865,0.0578174,-1.486892,0.4101319,1.0396018,-0.403803,-0.656842,0.3574834,0.6316592,-0.000728,0.6377535,-1.461506,0.8901419,1.2480683,-1.505257,0.5487035,-0.409738,1.2826186,0.4630209,0.6477533,0.2618091,0.5530415,-1.481674,-0.079203,-2.048172,0.1507958,0.4130645,0.3006411,-0.563869,-0.421114,-1.836262,-0.994196,-0.622194,-0.391552,-0.570059,-0.562095,0.6034323,-0.300711,1.5526148,-0.428420,0.2499954,1.4204758,-0.346798,0.2375611,0.0508835,-1.337767,-0.184608,-1.376488,0.5622508,-1.356783,0.5279252,-1.333665,1.1161470,-0.403620,-0.453416,0.4750700,-0.561681,-0.008575,2.1719739,-0.351017,-0.764342,1.1538448,-0.060096,0.2476619,0.4689656,1.5825079,0.3819993,0.7920688,-0.082831
Gene82,-1.471896,1.1039998,-0.757069,0.7409652,-0.262740,-1.670426,-1.577607,-0.930985,0.0358812,-1.833032,0.3688939,-0.227869,1.3362873,-0.374548,1.2789605,-0.694960,0.4174578,-0.244489,1.6422110,1.7047083,1.2597447,-1.504460,1.3290458,0.3141704,1.0260532,0.0698366,0.4038193,0.1683285,0.5664226,-0.403418,0.5650273,0.2275686,-1.026879,0.8302813,0.4767112,-0.397027,0.5241102,-2.820280,-1.356560,-0.124235,-0.975233,-0.240526,1.8184082,-0.450198,-1.787204,1.1942467,0.6255523,0.8372051,0.1569113,1.0180225,0.4936005,-0.201060,-0.807726,-0.498336,1.4525144,-0.949403,-0.142160,0.6735671,0.1220897,-1.049607,-0.254329,-0.753809,1.4801460,-1.825350,-0.981029,-1.754942,2.0134176,-0.386286,0.4526080,0.4961009,1.3603697,0.0662464,0.8032387,0.2076692,-1.768188,-0.687969,0.2441553,0.6948013,-0.348322,0.4678274,-0.919762,-0.565373,-0.828684,0.2471115,-1.546017,0.6737471,-0.644457,0.4449851,1.3516687,0.5961809,-0.381235,0.2768533,-0.547961,-0.069633,-0.172879,0.2951379,1.7693113,0.0501989,0.1556184,1.9387160,0.3798027,-1.243903,-0.578138,0.9648154,0.2262745,-1.210368,0.5852757,0.9849594,-1.761248
Gene83,-0.122052,0.7357964,0.6228695,0.6689267,-1.504918,-1.038778,-0.233137,0.7540579,0.5682704,0.2728096,-0.368569,0.0380008,-0.403520,0.8844923,0.4826600,0.5343917,0.9315093,0.0729618,0.5240855,0.3554990,-0.424408,0.0890983,0.1591757,0.5432341,0.4097406,0.2697698,0.0813196,-0.554239,-0.230326,-1.004201,-0.735722,-0.434751,0.5004060,-0.777697,0.2086871,-0.136928,0.1630986,-0.506414,0.3853418,-1.691086,-0.180907,-0.066300,-0.595969,1.0068666,-0.338285,0.0896517,-0.215744,0.4126239,0.9216994,-0.579466,-0.116785,0.5933271,-0.454079,-1.909365,0.5478127,0.2329381,0.4142817,0.2195998,0.0222346,-1.017752,-0.554691,0.8640418,-0.237242,-0.635678,-0.558473,0.6183907,-0.210026,-0.044075,0.7819574,-0.540670,0.6480985,0.8895897,-1.153617,0.6454615,-0.008561,-0.597571,0.6503883,-0.930839,-0.270498,0.1761949,-0.972556,0.1611848,0.2000220,0.5844374,-0.265352,0.1393924,-1.023757,-0.249008,0.7548093,0.0724676,-0.127109,-0.332385,-1.292547,0.6532402,0.7792291,0.0989631,0.9332071,-0.351278,1.1412694,0.1306857,-0.270136,0.0027398,0.2172845,-0.529893,0.5462922,-0.689960,1.1178234,-0.117542,0.0804756
Gene84,-0.607039,0.4476776,-0.947446,0.3061699,-0.911562,-2.036842,-0.025462,0.2837715,1.2405589,-0.764120,1.4529522,0.5084216,0.7675095,0.3776772,0.8352604,-0.860569,-2.331443,-0.621621,0.1865597,1.4395726,-1.602355,-0.015200,0.3897633,0.3432736,0.0533199,-0.588968,-0.003881,-0.903907,-1.389032,-0.959810,-1.763840,-0.939343,-0.577430,-0.734188,-0.127337,-1.495923,-0.070640,-0.704799,-0.178663,0.1490728,-0.301220,0.3844000,-0.798455,1.4055007,-0.455759,0.4127493,0.0918491,-0.110827,0.1823272,-0.003836,0.0029288,0.0410043,0.3918880,-3.334475,1.0518332,0.1436519,0.4937604,-0.067453,0.6739537,-1.535469,-0.824356,-0.422909,2.4931592,0.1836474,1.0347164,0.9417358,1.1216212,0.6695768,1.1416357,0.1559933,2.1096702,0.4026293,-1.090837,0.6883495,0.6226523,-0.121958,1.0324484,0.1589594,0.3683360,-0.750009,1.1223800,-0.251736,0.8742296,-0.637976,-1.134469,0.5779648,0.1628970,1.4769503,0.0686743,0.3561885,-1.688259,0.7816632,0.7159799,0.5355180,0.0281461,0.6039970,-0.195808,0.3170039,0.7220691,-0.755576,1.1625005,0.0873359,-0.316072,-0.092959,-0.256073,-0.798675,-0.727205,0.5237485,0.5340262
Gene85,-0.002287,-0.551581,0.1587611,-0.821201,1.3943125,1.0317902,-0.666403,-0.282022,-0.565228,0.8123114,0.0344953,-0.496583,0.1030905,0.5434765,-0.648292,0.6054002,-0.781549,0.4640363,0.8150331,0.6131023,0.0441604,0.7287853,0.5523138,-0.185991,0.6046091,1.2511389,0.4078542,0.0921331,-1.177878,-0.514615,0.3926619,-0.978118,0.4198449,0.5050593,-0.254904,-0.490970,0.7022003,0.9140574,0.0870962,0.3139016,0.3299488,-0.746795,-0.126511,0.0260693,-0.356991,-0.049855,0.4920870,-1.561383,0.7970115,-0.549096,-0.679733,0.6585227,0.4279611,-1.955493,-1.266646,0.2459753,-0.790654,-0.400170,-0.727648,0.4958899,0.4887072,0.0637774,0.4532086,0.3585979,0.3553709,0.6428525,-1.186594,0.3593584,-0.290683,0.1291058,-0.174337,-0.210446,0.7933388,0.3502468,0.1353842,0.6228854,-0.681072,0.2408252,0.4196244,-0.658059,-0.155730,0.4032059,-0.755196,-0.805491,0.1301786,-0.794859,0.9935846,0.2945487,0.5056096,0.5553906,0.1354902,0.3878189,1.0188661,-0.039709,0.0362001,-0.370569,-0.471378,0.6085858,-1.097398,-0.169181,0.3202395,0.5805406,-0.957566,-2.133816,0.1150216,-0.158205,0.3230508,0.6104810,-0.758282
Gene86,-0.601952,0.5427322,-0.716187,0.4470248,0.7504131,1.1700488,-0.574201,-0.481709,0.3035551,0.1669850,-0.877652,0.4397249,-0.349155,2.0365044,-1.159846,-0.276671,1.4508326,-0.530807,1.6690312,0.7938487,0.6056647,0.8006848,1.0832195,-1.041108,0.7915274,1.2795238,-0.600231,1.1603176,0.6599379,1.0336522,2.0735584,0.9652736,0.2587424,0.8159131,-0.396376,0.4221457,0.2510244,-0.671487,-0.401119,-0.407267,0.0666310,0.2752424,1.2038596,1.0861264,-0.230278,0.6724175,0.8461282,0.4420530,-0.726194,0.7950339,-0.218739,0.8830782,-1.027369,1.2454439,0.5063013,-0.515713,-0.258964,-1.061867,-0.137887,-0.171427,1.0180671,-0.381546,0.1622120,-0.429683,-1.714004,0.4788018,0.3096489,-0.294327,2.1743780,-1.929915,-1.055638,-0.294956,0.9032937,-0.446770,-1.360034,0.3088303,-0.885134,-0.157100,0.0410343,-0.492934,-0.874838,0.4573544,0.1165318,-1.703508,-0.307902,-1.056806,-0.802454,-0.419459,1.6778907,-0.591659,-1.025534,-1.801400,-1.004293,-0.874302,0.0844112,-1.631077,1.4594089,-0.221491,0.5119821,1.0033396,0.3209453,-0.635818,-0.445825,-1.735543,-1.044617,-0.237648,-0.264308,-1.042384,-0.425192
